Wall time,Step,Value
1771471170.4363074,400,6.821478366851807
1771471551.0831358,1400,6.71915340423584
1771471590.658943,1500,6.983880996704102
1771471702.483239,1800,6.693485736846924
1771471739.1842682,1900,6.676890850067139
1771471776.9288857,2000,6.577776908874512
1771471852.4864166,2200,6.458783149719238
1771472003.4151363,2600,6.88600492477417
1771472041.9597967,2700,6.882411003112793
1771472536.2858744,4000,6.34695291519165
1771472802.177253,4700,6.384142875671387
1771472840.1888044,4800,6.0344648361206055
1771472878.8578043,4900,6.547856330871582
1771473034.791207,5100,6.344566345214844
1771473152.7795968,5400,5.993082046508789
1771473378.7130282,6000,6.053417682647705
1771473417.055513,6100,6.230635643005371
1771473457.0008447,6200,6.136247634887695
1771473496.0003166,6300,6.294494152069092
1771473609.9710026,6600,6.046733856201172
1771473649.252136,6700,6.200036525726318
1771473687.4576025,6800,6.07270622253418
1771473762.0292246,7000,6.136175155639648
1771473799.308877,7100,5.9474711418151855
1771474028.741849,7700,6.197887420654297
1771474220.9821494,8200,5.863064289093018
1771474529.0155053,8900,5.74749755859375
1771475134.354965,9900,5.793690204620361
1771475433.168674,10300,6.190633773803711
1771475613.3286533,10600,6.241069793701172
1771475682.8215716,10700,6.206737518310547
1771475813.5500395,10900,5.928208827972412
1771476271.4789474,11600,6.143569469451904
1771476586.8240094,12100,6.049351692199707
1771476850.657048,12500,5.850587368011475
1771476918.0877361,12600,5.821769714355469
1771477044.3039017,12800,6.015300273895264
1771477170.1681726,13000,6.070910453796387
1771477563.4626627,13600,5.380306720733643
1771477628.3083313,13700,5.614597797393799
1771478079.319452,14400,5.746601581573486
1771478208.942869,14600,5.465441703796387
1771478274.604643,14700,5.787775993347168
1771478476.2189093,15000,5.9368414878845215
1771478992.0737689,15700,5.633377552032471
1771479196.0155165,16000,5.487278938293457
1771479339.2743955,16200,5.866034030914307
1771479475.13568,16400,5.904210090637207
1771479866.0674353,17000,5.544010639190674
1771479927.0787826,17100,5.83094596862793
1771479988.2467303,17200,5.612462997436523
1771480317.915953,17700,6.181247711181641
1771480769.938519,18400,6.15985107421875
1771480838.7574737,18500,6.145205497741699
1771480900.6288023,18600,5.729467868804932
1771481160.8911858,19000,5.8975443840026855
1771481221.365083,19100,5.63372278213501
1771481290.306542,19200,5.757646560668945
1771481747.2932098,19900,5.860167026519775
1771481993.1273344,20200,5.782908916473389
1771482061.2262168,20300,5.49030876159668
1771482126.740077,20400,5.844876766204834
1771482191.5675087,20500,5.675561428070068
1771482323.353464,20700,5.371404647827148
1771482586.292915,21100,5.671733379364014
1771482718.7368305,21300,5.787991523742676
1771482844.3475099,21500,5.626318454742432
1771483114.6040986,21900,5.668986797332764
1771483178.3015776,22000,5.787459850311279
1771483243.18814,22100,5.736691951751709
1771483445.6337667,22400,5.364758491516113
1771483772.1877718,22900,5.46277379989624
1771484412.9396293,23900,5.673189163208008
1771484734.5689585,24400,6.022966384887695
1771484797.7068124,24500,5.314331531524658
1771484861.4081101,24600,5.563430309295654
1771485652.8650968,25800,5.257350444793701
