step,wer_dv_att,wer_dv_ctc
0,1.1938934326171875,0.9998717308044434
2000,1.2332357576213424,0.8818844405740088
4000,1.2725977636285009,0.7638381271868807
6000,1.2381473302841186,0.6663231968879699
8000,1.129884457588196,0.5893396496772766
10000,1.021621584892273,0.5123561024665833
12000,1.0736323595046997,0.47971320152282715
14000,1.1256431341171265,0.44707030057907104
16000,1.1589391946792602,0.42376034855842587
18000,1.1735205411911012,0.4097833454608917
20000,1.188101887702942,0.3958063423633575
22000,1.1661117315292358,0.3819447100162506
24000,1.1441215753555298,0.36808307766914367
26000,1.1383135795593262,0.3562052369117737
28000,1.148687744140625,0.3463111877441406
30000,1.1590619087219238,0.3364171385765075
32000,1.112255048751831,0.3295374512672424
34000,1.0654481887817382,0.3226577639579773
36000,1.055652141571045,0.3166868448257446
38000,1.082866907119751,0.3116246938705444
40000,1.110081672668457,0.3065625429153442
42000,1.117451810836792,0.3030084133148193
44000,1.124821949005127,0.29945428371429444
46000,1.1018457055091857,0.296810507774353
48000,1.0485230803489685,0.2950770854949951
50000,0.9952004551887512,0.2933436632156372
52000,1.036422336101532,0.2912146806716919
54000,1.0776442170143128,0.2890856981277466
56000,1.0967441082000733,0.28696457743644715
58000,1.0937220096588134,0.28485131859779356
60000,1.0906999111175537,0.28273805975914
62000,1.0315575361251832,0.28044775128364563
64000,0.9724151611328125,0.2781574428081512
66000,0.8963787913322449,0.2761037170886993
68000,0.8034484267234803,0.2742865741252899
70000,0.7105180621147156,0.2724694311618805
72000,0.6879887461662293,0.27418221831321715
74000,0.6654594302177429,0.2758950054645538
76000,0.6348360776901245,0.2750362038612365
78000,0.596118688583374,0.27160581350326535
80000,0.5574012994766235,0.2681754231452942
82000,0.5432922840118408,0.2689416170120239
84000,0.5291832685470581,0.2697078108787536
86000,0.5097832083702087,0.2688518404960632
88000,0.4850921034812927,0.2663737058639526
90000,0.4604009985923767,0.263895571231842
92000,0.45207422971725464,0.26617857217788693
94000,0.4437474608421325,0.2684615731239318
96000,0.43178408145904534,0.2691227257251739
98000,0.41618409156799313,0.2681620299816131
100000,0.4005841016769409,0.2672013342380523
102000,0.39395962953567504,0.2656961619853973
104000,0.38733515739440916,0.2641909897327423
106000,0.3815154314041137,0.2631652891635895
108000,0.3765004515647888,0.26261906027793885
110000,0.3714854717254638,0.2620728313922882
112000,0.365216064453125,0.2619835317134857
114000,0.3589466571807861,0.2618942320346832
116000,0.3545591711997986,0.26152347922325136
118000,0.3520536065101624,0.2608712732791901
120000,0.3495480418205261,0.2602190673351288
122000,0.3451649188995361,0.25987482666969297
124000,0.3407817959785461,0.2595305860042572
126000,0.337588757276535,0.2597813904285431
128000,0.3355858027935028,0.26062723994255066
130000,0.3335828483104706,0.2614730894565582
132000,0.3288376033306122,0.26063696742057796
134000,0.3240923583507538,0.25980084538459775
136000,0.3232023775577545,0.25966835618019096
138000,0.32616766095161437,0.2602394998073577
140000,0.3291329443454742,0.2608106434345245
142000,0.323730844259262,0.2626315295696258
144000,0.31832874417304985,0.2644524157047271
146000,0.3167550086975097,0.26471703648567196
148000,0.3190096378326415,0.2634253919124603
150000,0.3212642669677734,0.2621337473392486
152000,0.3170370459556579,0.2638895213603973
154000,0.3128098249435424,0.26564529538154596
156000,0.31035513281822197,0.265449035167694
158000,0.3096729695796966,0.2633007407188415
160000,0.3089908063411712,0.261152446269989
162000,0.3093187630176544,0.26292996406555175
164000,0.30964671969413754,0.2647074818611145
166000,0.30855407714843747,0.26491786241531373
168000,0.30604083538055415,0.2635611057281494
170000,0.3035275936126709,0.2622043490409851
172000,0.30344682931900024,0.2607551336288452
174000,0.30336606502532953,0.25930591821670534
176000,0.3024957358837127,0.2596374213695526
178000,0.30083584189414975,0.2617496430873871
180000,0.2991759479045868,0.2638618648052215
182000,0.29945817589759827,0.2638543426990509
184000,0.29974040389060974,0.2638468205928802
186000,0.3004958570003509,0.2638695538043976
188000,0.30172453522682186,0.2639225423336029
190000,0.3029532134532928,0.2639755308628082
192000,0.29970164895057677,0.26402315497398376
194000,0.2964500844478607,0.26407077908515925
196000,0.2946647584438324,0.26340427994728083
198000,0.2943456709384918,0.26202365756034846
200000,0.2940265834331512,0.2606430351734161
202000,0.29541156888008113,0.2615599453449249
204000,0.2967965543270111,0.2624768555164337
206000,0.29723926782608034,0.2634779572486877
208000,0.29673970937728883,0.264563250541687
210000,0.2962401509284973,0.2656485438346863
212000,0.29432748556137084,0.2644453763961792
214000,0.29241482019424436,0.26324220895767214
216000,0.2903053164482116,0.26219375133514405
218000,0.28799897432327265,0.26130000352859495
220000,0.2856926321983337,0.2604062557220459
222000,0.2884254217147827,0.26030831336975097
224000,0.2911582112312317,0.26021037101745603
226000,0.29180359840393066,0.260828024148941
228000,0.29036158323287964,0.2621612727642059
230000,0.2889195680618286,0.2634945213794708
232000,0.2880587100982666,0.26237958073616025
234000,0.2871978521347046,0.26126464009284966
236000,0.28734261393547056,0.26170352101325983
238000,0.28849299550056456,0.26369622349739075
240000,0.2896433770656585,0.2656889259815216
242000,0.2888589799404144,0.2640107572078705
244000,0.2880745828151703,0.26233258843421936
246000,0.287653785943985,0.26198322176933286
248000,0.2875965893268585,0.26296265721321105
250000,0.287539392709732,0.2639420926570892
252000,0.28914875388145445,0.2641340792179107
254000,0.2907581150531769,0.26432606577873224
256000,0.2901919484138489,0.2637513518333435
258000,0.2874502539634704,0.26240993738174434
260000,0.284708559513092,0.2610685229301452
262000,0.2874432206153869,0.2627093315124511
264000,0.29017788171768183,0.26435014009475705
266000,0.2909469902515411,0.2643774032592773
268000,0.2897505462169647,0.26279112100601193
270000,0.2885541021823883,0.2612048387527466
272000,0.2874277770519257,0.2633318781852722
274000,0.286301451921463,0.26545891761779783
276000,0.2863694727420807,0.26520101428031917
278000,0.2876318395137787,0.2625581681728363
280000,0.2888942062854767,0.2599153220653534
282000,0.2889108955860138,0.26120091080665586
284000,0.28892758488655085,0.2624864995479584
286000,0.28898036479949946,0.2630730211734772
288000,0.2890692353248596,0.2629604756832123
290000,0.2891581058502197,0.2628479301929474
292000,0.287028968334198,0.26269277930259705
294000,0.28489983081817627,0.26253762841224665
296000,0.28501978516578674,0.26333822607994073
