step,loss_att,loss_ctc
0,6.821478366851807,6.462649822235107
2000,6.577776908874512,6.139073198491877
4000,6.34695291519165,5.059226036071777
6000,6.053417682647705,3.607792513711112
8000,5.996993541717529,3.361799716949463
10000,5.892926096916199,2.6793931126594543
12000,6.068195247650147,2.204787152154105
14000,5.671170847756522,2.489323139190674
16000,5.487278938293457,1.9314266443252563
18000,6.172077723911831,1.5828345825797634
20000,5.8344143231709795,1.5734360218048096
22000,5.787459850311279,1.197378471493721
24000,5.743144607543945,1.1960245927174886
26000,5.416449069976807,0.81519615650177
28000,5.77254319190979,1.1504259705543518
30000,5.570806503295898,0.8221927483876547
32000,5.51781686147054,0.7462501525878906
34000,5.5069070816040036,0.48356078565120697
36000,5.463279485702515,0.7088156243165333
38000,5.457869529724121,0.8601817190647124
40000,4.946679210662842,0.21285102963447566
42000,5.002500613530477,0.4608023677553449
44000,5.28969419002533,0.44630002549716397
46000,5.010908317565918,0.6180255313714345
48000,5.101712226867676,0.403126448392868
50000,5.2656895464116875,0.42978027074233344
52000,5.135914257594517,0.6948849782347679
54000,4.84202766418457,0.540093719959259
56000,4.550089995066325,0.3438395857810974
58000,4.8324360847473145,0.3439057794484225
60000,4.707228183746338,0.6375039065325702
62000,4.543671449025472,0.854374435212877
64000,3.9167768955230713,0.20045441389083862
66000,3.7550530433654794,0.47629258367750377
68000,4.36049222946167,0.1854384296080645
70000,3.063756068547567,0.2596712658802668
72000,2.160439729690552,0.29499678644869065
74000,3.247687816619873,0.19283383396955633
76000,2.8640314737955728,0.3735746562480926
78000,1.065675973892212,0.36292395989100135
80000,2.2130008339881897,0.21242766082286835
82000,1.8770265446768868,0.46416289072770334
84000,2.173774480819702,0.22987531185150145
86000,1.8974628448486328,0.23291611671447746
88000,1.6610976916093092,0.11221794337034222
90000,1.4303085605303447,0.1443343125283718
92000,1.6424804329872131,0.2189721125980903
94000,1.4605323473612468,0.1219899157683054
96000,1.430063009262085,0.27011248171329494
98000,0.979286551475525,0.17137911617755888
100000,0.985451896985372,0.08616160353024797
102000,1.0474144560950143,0.15806218981742853
104000,1.0938162565231324,0.13819231641919988
106000,1.843949556350708,0.13055754133633202
108000,1.2664259672164917,0.07451867808898284
110000,0.6364165544509888,0.0575982220470905
112000,0.762678895677839,0.22280550897121426
114000,0.8583658593041557,0.03423021547496315
116000,0.8713220834732056,0.1343345791101455
118000,0.5294327586889267,0.14914130419492722
120000,0.6850343570113182,0.20315495282411575
122000,0.3836101651191711,0.12491949966975616
124000,0.5577795108159384,0.17287125544888632
126000,0.5932974219322205,0.1306867506355047
128000,0.6806191504001617,0.24487739304701484
130000,0.499591588973999,0.15804948657751078
132000,0.4577177464962005,0.10468029882758847
134000,0.49438799917697906,0.06059306859970085
136000,0.2981685996055603,0.1315511465072631
138000,0.3752171099185943,0.1009326577186584
140000,0.7140069305896759,0.109962616417859
142000,0.4715794026851654,0.11781755302633551
144000,0.1758200675249099,0.13353523529238165
146000,0.41445192694664,0.07597648445516819
148000,0.4965002111026219,0.08143018611839833
150000,0.5189099113146464,0.03666984057053914
152000,0.5894386768341064,0.21766972541809076
154000,0.53606844941775,0.02848488390445706
156000,0.28333924412727357,0.03141048590519596
158000,0.1490787118673324,0.03864068703518969
160000,0.43244468420743937,0.06546994745731348
162000,0.11717143468558787,0.0863800471027692
164000,0.1357099711894989,0.1499916769564151
166000,0.23167684177557624,0.07967356268478472
168000,0.46782801672816277,0.08780194818973533
170000,0.39359404785292484,0.09483328834176061
172000,0.09723104164004324,0.19930519461631768
174000,0.1079331925138831,0.07536378999551137
176000,0.26146500489928504,0.0541246812790632
178000,0.1839390397071838,0.023296551313251226
180000,0.4711473882198334,0.0762454196810722
182000,0.3764293100684881,0.051074463341917266
184000,0.08075647594200232,0.0763313993811607
186000,0.0682450458407402,0.0529709160327911
188000,0.2486262917518615,0.10760717537431487
190000,0.1691940724849701,0.03205163714786367
192000,0.25768157839775085,0.06660053431987756
194000,0.3174577951431274,0.0172417946159839
196000,0.1731083989143371,0.0065511614084243
198000,0.09139427728950975,0.024861298734322163
200000,0.354518874333455,0.07006275999109916
202000,0.11996988020837307,0.0642943524005936
204000,0.1177230477333068,0.05852594481008804
206000,0.15624641694805833,0.052757537219582484
208000,0.26249444484710693,0.1001565814018249
210000,0.0554846115410327,0.1126158237457275
212000,0.1894803941249847,0.0357790440320968
214000,0.15060371533036226,0.06929881907999512
216000,0.0876217571397622,0.03684916384518146
218000,0.15815708718516608,0.044828850626945485
220000,0.05003592185676095,0.07206499129533764
222000,0.1612938145796457,0.05292192272221039
224000,0.15269284943739572,0.04541337192058556
226000,0.07172417002064838,0.0490622311025052
228000,0.068361297249794,0.06866892930623644
230000,0.1577845066785812,0.06877401005476713
232000,0.03488093018531796,0.0297503265050741
234000,0.2940109670162201,0.12985909581184385
236000,0.14695506822317836,0.07556943471233049
238000,0.14599449435869852,0.10168294981122016
240000,0.1734768205455371,0.09714645108110023
242000,0.13742207879057292,0.07822897598931661
244000,0.06243212986737485,0.05191592425107954
246000,0.06877698563039294,0.05825478397309772
248000,0.1340658728565488,0.08922436833381645
250000,0.1528853923082351,0.060988007485866504
252000,0.06868204846978185,0.057716749608516665
254000,0.4137876629829407,0.06845989657772909
256000,0.08592613803392106,0.04065757493178048
258000,0.049579305760562395,0.02101880759000772
260000,0.20557563379406923,0.047456314521176414
262000,0.203000177629292,0.06829840689897529
264000,0.1481010913848877,0.1798663735389709
266000,0.1853555291891098,0.023851489060019146
268000,0.04490102614675245,0.06043832323380876
270000,0.11254787196715665,0.04939380288124079
272000,0.09574153721332544,0.05321551673114297
274000,0.0592480711638927,0.0562311895191669
276000,0.0419237129390239,0.0483639761805534
278000,0.06710998155176634,0.08064480551651543
280000,0.05469781798975807,0.0659663052194648
282000,0.08429574085907503,0.033539670096202276
284000,0.05666739990313843,0.11223024725913998
286000,0.0437862686812877,0.11590184008373931
288000,0.031595097156241446,0.03492259731712309
290000,0.08687866991385813,0.04393144858044542
292000,0.042794544249773,0.0656505698959032
294000,0.08931617758103778,0.12787635127703342
