step,wer_tr_att,wer_tr_ctc
0,1.244947910308838,1.0
2000,0.9762881398200988,0.9885905601761558
4000,0.9864596724510192,0.8744961619377136
6000,0.9374431371688844,0.6086953112057277
8000,0.9964213371276855,0.5658681035041809
10000,0.8971894681453705,0.5055797249078751
12000,0.9553868055343628,0.41938145458698267
14000,0.887107755456652,0.5082673345293317
16000,0.9123716950416564,0.4214294552803039
18000,0.9788613830293927,0.3204912496240515
20000,0.9003285964330038,0.3417876660823822
22000,1.002010464668274,0.28147876262664795
24000,0.8890244364738464,0.2937937001387278
26000,0.8972423672676086,0.21322518711288768
28000,0.9136174917221069,0.2668428942561149
30000,0.8851896077394485,0.19143713301136378
32000,0.90256001551946,0.2008108645677566
34000,0.8604835271835327,0.1259250231087207
36000,0.8620046377182007,0.2078274364272753
38000,0.8794839978218079,0.23689480125904078
40000,0.833890700340271,0.026747590303421012
42000,0.8604914247989655,0.14285298011132647
44000,0.8989532887935638,0.11996472094740182
46000,0.8693937301635742,0.15600967903931928
48000,0.8782320022583008,0.1358128488063812
50000,0.8861568353392861,0.1325437659802644
52000,0.8717027093682971,0.20288761239498854
54000,0.799490213394165,0.1473359167575836
56000,0.7892990708351135,0.10705491403738654
58000,0.8024524748325348,0.08407135917381801
60000,0.8026778399944305,0.19496744981518493
62000,0.748949408531189,0.20628503627247272
64000,0.6342007517814636,0.06799670495092865
66000,0.6278465390205383,0.13658536473910013
68000,0.6800702214241028,0.06309264810646277
70000,0.5247191786766052,0.08475803997781539
72000,0.3491441607475281,0.09235483959869102
74000,0.5476640611886978,0.05715931235597678
76000,0.5371574858824412,0.11614608988165853
78000,0.2462797611951828,0.10600601881742476
80000,0.42935651540756226,0.058929569087922545
82000,0.3229743109809028,0.14471303786222742
84000,0.4026538729667663,0.08636667877435678
86000,0.401769608259201,0.06267280131578443
88000,0.3259518559162433,0.032887405157089204
90000,0.2738642791906992,0.0406054495833814
92000,0.3555357307195663,0.05951378635805223
94000,0.2982014417648315,0.04425831697881218
96000,0.2504126131534576,0.09938565343618393
98000,0.2315428058306376,0.059351389110088325
100000,0.18022331098715463,0.025419344504674233
102000,0.21234236018998276,0.05481163731643128
104000,0.2299485981464386,0.05351765169516985
106000,0.28904989361763,0.0367407120232071
108000,0.2803234457969665,0.0157500424732764
110000,0.1108291558921337,0.0203648721799254
112000,0.12485852198941359,0.08257595300674433
114000,0.1669457810265677,0.00901800883002575
116000,0.2038664698600769,0.036271444211403464
118000,0.11425554752349851,0.0589028410613536
120000,0.12476444244384764,0.07679267935454842
122000,0.0845209434628486,0.044725109423909816
124000,0.11209025482336672,0.05723127616303303
126000,0.1049819588661193,0.047236728481948376
128000,0.1275100018829107,0.09725595141450558
130000,0.1114969750245412,0.0545121943578124
132000,0.0991937890648841,0.035082820802926934
134000,0.11199413239955895,0.02739007771015165
136000,0.0429695211350917,0.0623214282095432
138000,0.0819733962416648,0.0333225466310977
140000,0.15325161106884477,0.04100768157356489
142000,0.12849548272788525,0.05012707305806021
144000,0.0450104735791683,0.04541645799246094
146000,0.09546609967947,0.0245562400668859
148000,0.1314655819109508,0.027747110596724873
150000,0.1071493824323018,0.010373556986451125
152000,0.06729709357023234,0.10057384893298144
154000,0.14488775531450898,0.00767305400222534
156000,0.0698695838451385,0.0055803571927493575
