Wall time,Step,Value
1770957207.8461194,400,1.0
1770957856.099367,1800,1.0
1770959150.3261378,4000,0.8744961619377136
1770959573.4728909,4700,0.6584686040878296
1770959627.997062,4800,0.7285763621330261
1770960542.4936388,6200,0.588715136051178
1770960600.2483814,6300,0.6335089802742004
1770961075.1783004,7100,0.48124611377716064
1770961429.5792446,7700,0.5966391563415527
1770961715.5341873,8200,0.5453540682792664
1770962132.990564,8900,0.40611574053764343
1770962720.4810212,9900,0.5055049061775208
1770962997.3075767,10300,0.505804181098938
1770963243.6966965,10700,0.5316128134727478
1770964427.5107598,12100,0.41074827313423157
1770964846.8312237,12800,0.21518799662590027
1770964994.2475786,13000,0.4497106671333313
1770965899.8353295,14400,0.5316900014877319
1770966103.6042445,14700,0.29915735125541687
1770966826.3169768,15700,0.25164225697517395
1770967024.0876126,16000,0.42142945528030396
1770967149.2755375,16200,0.3054019510746002
1770967284.6228812,16400,0.3336533010005951
1770967796.6479375,17200,0.34263768792152405
1770969396.9517176,19100,0.29003989696502686
1770970277.568225,20300,0.359036922454834
1770970400.9866967,20500,0.31850531697273254
1770971813.8791306,22900,0.2592628300189972
1770972693.7373376,24400,0.30635038018226624
1770972752.7298245,24500,0.239810973405838
1770973564.236476,25800,0.27340880036354065
1770973626.5365765,25900,0.20719246566295624
1770974353.7492757,27100,0.2795851230621338
1770974537.356562,27400,0.21938958764076233
1770975014.8300486,28200,0.28266066312789917
1770975191.8770852,28500,0.29850128293037415
1770975441.4066875,29500,0.17548179626464844
1770975990.9889603,31600,0.24249421060085297
1770976062.024148,31900,0.21856267750263214
1770976135.1349816,32200,0.16530723869800568
1770976769.6762621,34600,0.11279761791229248
1770977568.328165,35800,0.27201229333877563
1770977910.5852911,36400,0.07945772260427475
1770978025.3011727,36600,0.2870149612426758
1770978715.066372,37800,0.23939268290996552
1770979162.4269233,38600,0.22940115630626678
1770979390.9269855,39000,0.0379742793738842
1770979506.5260658,39200,0.1337379515171051
1770980263.2908518,40200,0.0
1770980373.3566828,40400,0.0909014642238617
1770981009.7094607,41500,0.19077163934707642
1770981424.1510122,42200,0.12368551641702652
1770982256.045195,43600,0.12502601742744446
1770982315.1455593,43700,0.1733005791902542
1770982434.0641818,43900,0.11890754103660583
1770982889.9295456,44600,0.12630780041217804
1770983811.8327322,46100,0.15813124179840088
1770984035.4362948,46500,0.10585655272006989
1770984613.2061796,47500,0.1888093501329422
1770984897.771545,48000,0.13581284880638123
1770984951.889399,48100,0.15776455402374268
1770985294.6663556,48700,0.1241905689239502
1770986643.3836415,51000,0.1389693021774292
1770986753.9046395,51200,0.1736607700586319
1770986812.5886302,51300,0.07257101684808731
1770986865.9437795,51400,0.18765902519226074
1770987036.1551316,51700,0.2050398588180542
1770987937.5927713,53300,0.19356121122837067
1770988104.0278301,53600,0.0893658995628357
1770988210.0200777,53800,0.13789227604866028
1770988320.797024,54000,0.14733591675758362
1770988649.3087788,54600,0.0717584490776062
1770989179.1691186,55200,0.1322549432516098
1770989407.9727366,55600,0.073908731341362
1770989773.4747381,56200,0.12362800538539886
1770989891.1145425,56400,0.058874696493148804
1770990124.030664,56800,0.14313708245754242
1770990870.1661081,59000,0.034849923104047775
1770991077.3385298,59400,0.13859489560127258
1770991180.287089,59600,0.19270393252372742
1770992597.5570042,62300,0.20798267424106598
1770992838.571977,62800,0.15588146448135376
1770992889.0034227,62900,0.1062609925866127
1770993291.8424127,63700,0.04353690519928932
1770993606.633786,64300,0.09245650470256805
1770993661.266539,64400,0.10763053596019745
1770994409.6062481,65800,0.1178661584854126
1770994866.2111177,66700,0.20210258662700653
1770995289.7382004,67500,0.06438907980918884
1770996175.248074,69200,0.05998121201992035
1770996281.492643,69400,0.08247900009155273
1770997736.8616228,72100,0.0927346795797348
1770997940.6435742,72500,0.07310833036899567
1770998228.2159667,73100,0.06257575750350952
1770998871.4221277,74400,0.05475200340151787
1771000122.9646494,76400,0.13149461150169373
1771000704.6898367,77500,0.11700139939785004
1771000760.2298994,77600,0.08847401291131973
1771001079.0401247,78200,0.1147720217704773
1771001398.3300061,78800,0.0736570954322815
1771002298.8250775,80400,0.05402039363980293
1771002354.896932,80500,0.05517944321036339
1771002470.1159544,80700,0.11067140847444534
1771003140.9417737,81900,0.14802630245685577
1771003877.3395739,83200,0.10495386272668839
1771005366.7359588,85700,0.04686891287565231
1771006244.2013025,86600,0.09428057819604874
1771006729.3508694,87100,0.08221851289272308
1771008211.673119,88600,0.0
1771009304.3454015,89700,0.09820669144392014
1771009785.1739295,90100,0.021405035629868507
1771012757.4864526,93000,0.07957102358341217
1771014017.7593968,94200,0.03719577565789223
1771014731.30336,94900,0.1214044988155365
1771019990.764886,99900,0.021318838000297546
1771020362.1064417,100200,0.033620357513427734
1771020580.3047209,100400,0.10602936893701553
1771021735.0876653,101500,0.017549261450767517
1771022460.0817983,102200,0.06971658766269684
1771022886.128747,102600,0.07781337201595306
1771023104.8765352,102800,0.012500000186264515
1771024062.8261857,103700,0.05771126225590706
1771025839.6478457,105600,0.031151728704571724
1771026684.2645164,107000,0.05071317031979561
1771026746.9620907,107100,0.05329890549182892
1771026869.4632723,107300,0.00747767835855484
1771027118.3185277,107700,0.010952381417155266
1771027684.4515383,108600,0.025345364585518837
1771028453.2199583,109800,0.026697486639022827
1771028968.7736661,110200,0.014032257720828056
1771029088.4557621,110400,0.03751335293054581
1771029287.8912213,110700,0.03670082986354828
1771029411.9427028,110900,0.046885132789611816
1771029538.0927014,111100,0.1319916844367981
1771030181.3454914,112100,0.07708531618118286
1771030436.785072,112500,0.06473969668149948
1771030866.6983037,113200,0.034824661910533905
1771030991.598909,113400,0.0062500000931322575
1771031620.801971,114600,0.011786017566919327
1771031976.7510722,115100,0.08674842119216919
1771032034.7296271,115200,0.049060847610235214
1771032656.1521792,116400,0.029876742511987686
1771033157.8162796,117400,0.06027098745107651
1771033273.6968117,117600,0.05417332053184509
1771033719.4686756,118400,0.06363236159086227
1771034193.332357,119300,0.007352941203862429
1771034240.7744262,119400,0.08593674004077911
1771035515.8794913,121400,0.05545653775334358
1771035719.604168,121800,0.03867509216070175
1771036097.8398051,122500,0.05985015258193016
1771037263.4545705,124600,0.05618372559547424
1771037613.7005272,125100,0.05951125919818878
1771037672.5211067,125200,0.03817262873053551
1771037784.479976,125400,0.02559603378176689
1771037951.8022413,125700,0.0677579939365387
1771038168.1296213,126100,0.0403963066637516
1771038500.5706882,126700,0.02688536047935486
1771038718.6742096,127100,0.026055194437503815
1771038982.8074834,127600,0.06132850423455238
1771039335.323499,128200,0.11521967500448227
1771040244.5747714,129800,0.033727001398801804
1771040729.396462,130600,0.11686777323484421
1771041620.1787386,132200,0.02339925616979599
1771041787.02243,132500,0.033802736550569534
1771042984.1874819,134500,0.02525252476334572
1771044044.503084,136000,0.06232142820954323
1771044294.547445,136400,0.04812919348478317
1771044952.0770638,137500,0.043446749448776245
1771045010.1031647,137600,0.02915925905108452
1771045250.134751,138000,0.033322546631097794
1771047550.3215714,141700,0.04754004627466202
1771048411.3820977,143800,0.06564923375844955
1771048435.1061149,143900,0.044857580214738846
1771049488.5554383,145700,0.05491738021373749
1771049547.5001347,145800,0.02386716939508915
1771050423.3240404,147400,0.02937973476946354
1771050533.948267,147600,0.024980954825878143
1771051327.0886524,149000,0.03466250002384186
1771051542.8098843,149400,0.041494227945804596
1771052052.2403042,150200,0.0
1771052488.8158672,151000,0.02638888917863369
1771052643.4397824,151300,0.04493897408246994
1771052809.2227805,151600,0.12278413027524948
1771053468.1609938,152800,0.05615328624844551
1771054056.247644,153800,0.005965908989310265
1771054593.9187362,154800,0.014501634053885937
1771054997.9163287,155100,0.0031250000465661287
1771055855.4820418,156500,0.0069444444961845875
1771056028.895279,156800,0.051420003175735474
1771056339.304709,157300,0.045501917600631714
1771056522.211883,157600,0.01696428656578064
1771057069.6628036,158500,0.004464285913854837
1771057720.5867615,159600,0.021494360640645027
1771058054.373125,160100,0.019902590662240982
1771058180.548744,160300,0.03092089854180813
1771059592.084607,162700,0.0263366736471653
1771060064.8534002,163500,0.009852941147983074
1771060182.572619,163700,0.051438476890325546
1771060783.3801882,164700,0.04171742498874664
1771062228.7570033,167000,0.03109756112098694
1771062782.3046641,167900,0.02053365297615528
1771063150.784355,168500,0.06130344048142433
1771063694.2555082,169400,0.0034722222480922937
1771064192.6468463,170200,0.038947392255067825
1771064316.370754,170400,0.050979387015104294
1771064494.648374,170700,0.036853935569524765
1771064744.0165074,171100,0.036507248878479004
1771064957.357432,171800,0.041938666254282
1771065132.268691,172300,0.11170107871294022
1771065510.3410444,173000,0.020528456196188927
1771066757.132363,174500,0.02853349596261978
1771069778.582591,177500,0.007111378014087677
1771069984.1397212,177700,0.0031250000465661287
1771071164.672614,178900,0.0062500000931322575
1771071472.3121166,179200,0.0
1771072280.9354541,180000,0.036586616188287735
1771074214.435723,181900,0.025981800630688667
1771077027.2707415,184700,0.03822005167603493
1771077540.735254,185100,0.02108610048890114
1771078470.3751843,186000,0.01614583283662796
1771078964.4259732,186500,0.0078125
1771079161.7912161,186700,0.06408999860286713
1771081297.5042577,188800,0.019244536757469177
1771082432.5968683,189900,0.0069444444961845875
1771082773.7893414,190200,0.0069444444961845875
1771083386.3468454,190800,0.05157329514622688
1771083491.962065,190900,0.01586538553237915
1771085003.2527454,192400,0.029354335740208626
1771085104.9548097,192500,0.01678379997611046
1771086219.6956975,193600,0.03948955982923508
1771086621.8822706,194000,0.0
1771087149.6512167,194500,0.04675733670592308
1771087351.6450045,194700,0.011252228170633316
1771088705.863827,196000,0.0
1771088808.5966892,196100,0.02011227235198021
1771089302.962171,196600,0.031008848920464516
1771090424.6055496,197700,0.09531355649232864
1771090629.850593,197900,0.01105494238436222
1771091451.8431783,198700,0.005681818351149559
1771091555.8702598,198800,0.02629874274134636
1771097378.287912,207000,0.016066882759332657
1771097871.997184,207900,0.034674134105443954
1771098418.5178072,208900,0.019335824996232986
1771099026.0656848,210000,0.043222494423389435
1771099591.5152376,210900,0.037900444120168686
1771099885.1818335,211400,0.028016773983836174
1771099938.3089561,211500,0.013429547660052776
1771100156.0562334,211900,0.04125766083598137
1771100207.3990896,212000,0.012500000186264515
1771100593.8554409,212700,0.049454186111688614
1771101243.9410315,213900,0.026600481942296028
1771102870.8179514,216900,0.007247899193316698
1771104235.394476,219400,0.03480488806962967
1771105130.6469219,220900,0.034969691187143326
1771105447.2459195,221500,0.02990759164094925
1771106728.4140952,223900,0.016403255984187126
1771107007.0535603,224400,0.015269886702299118
1771109143.0267751,228100,0.0412868969142437
1771110447.1103382,230500,0.024209413677453995
1771111049.195773,231600,0.030157802626490593
1771111214.8617518,231900,0.0059523810632526875
1771111926.2452314,233200,0.042388904839754105
1771112529.1607547,234200,0.037251781672239304
1771113689.459625,235900,0.009615384973585606
1771115511.8585534,238900,0.03619091957807541
1771115762.934496,239300,0.007352941203862429
1771115829.1467774,239400,0.020157968625426292
1771116091.964846,239800,0.0504155270755291
1771118223.9360638,243600,0.01980062574148178
1771118450.5436792,244100,0.02003132924437523
1771119256.0788128,245400,0.05441223457455635
1771119722.2277951,246200,0.02083333395421505
1771119898.3093822,246500,0.0673857033252716
1771121089.0973737,248500,0.028674906119704247
1771121557.068438,249300,0.015625
1771121848.7306745,249800,0.022069144994020462
1771122216.4577043,250300,0.02510613016784191
1771123050.3744001,251700,0.015410685911774635
1771123173.4114475,251900,0.01977495476603508
1771123705.6523283,252800,0.007782566826790571
1771123819.6440787,253000,0.023600511252880096
1771125922.922349,256600,0.01485742162913084
1771126276.614809,257700,0.025278372690081596
1771126302.7482827,257800,0.015625
1771126566.682623,258800,0.01587301678955555
1771126672.0370865,259200,0.0
1771126858.4613018,259900,0.01764777861535549
1771127294.501567,260600,0.01775466278195381
1771127633.237458,261900,0.023343157023191452
1771127841.3338466,262700,0.02358138933777809
1771127867.2068212,262800,0.02579452283680439
1771128049.9763546,263500,0.010869565419852734
1771128154.063811,263900,0.003289473708719015
1771128179.8729591,264000,0.06804113835096359
1771128256.8414261,264300,0.037059295922517776
1771128954.7092516,266200,0.02500000037252903
1771129165.2112067,267000,0.005681818351149559
1771129191.3063774,267100,0.020432692021131516
1771129270.170752,267400,0.028579996898770332
1771129456.1015246,268100,0.018852364271879196
1771129534.170852,268400,0.01214883103966713
1771129583.864635,268600,0.027309782803058624
1771129658.6836898,268900,0.034557830542325974
1771129762.0707417,269300,0.06268425285816193
1771130080.055354,270200,0.011116600595414639
1771130225.971388,270800,0.03657659515738487
1771130348.0501413,271300,0.015211639925837517
1771130445.2213645,271700,0.01315789483487606
1771130739.1467395,272900,0.026608334854245186
