Wall time,Step,Value
1770957207.8405943,400,6.462649822235107
1770957856.0934854,1800,6.247057914733887
1770959150.3206248,4000,5.059226036071777
1770959573.4666438,4700,4.276362419128418
1770959627.988355,4800,4.371403217315674
1770960542.4881353,6200,3.4805240631103516
1770960600.2430954,6300,3.6602702140808105
1770961075.1736603,7100,2.8765854835510254
1770961429.5739248,7700,3.331805467605591
1770961715.5289545,8200,3.381795883178711
1770962132.982335,8900,2.2827372550964355
1770962720.473175,9900,2.6715149879455566
1770962997.3014653,10300,2.7030274868011475
1770963243.6912363,10700,2.516608238220215
1770964427.5046053,12100,2.1808009147644043
1770964846.8269968,12800,1.2520064115524292
1770964994.2420824,13000,2.184168815612793
1770965899.8291578,14400,2.611384868621826
1770966103.5991607,14700,1.5063390731811523
1770966826.310837,15700,1.4033901691436768
1770967024.0811727,16000,1.9314266443252563
1770967149.264339,16200,1.411351203918457
1770967284.6186302,16400,1.748547077178955
1770967796.6414375,17200,1.6810686588287354
1770969396.944576,19100,1.4477627277374268
1770970277.5617163,20300,1.6153271198272705
1770970400.9731693,20500,1.4223817586898804
1770971813.8715494,22900,1.0623764991760254
1770972693.7314138,24400,1.2446238994598389
1770972752.7239301,24500,0.861801266670227
1770973564.2315848,25800,1.0528862476348877
1770973626.5309339,25900,0.7997984886169434
1770974353.7435162,27100,0.9845705032348633
1770974537.3482623,27400,0.9330624341964722
1770975014.8248513,28200,1.222880482673645
1770975191.869903,28500,1.3875372409820557
1770975441.3972476,29500,0.7921035289764404
1770975990.9846241,31600,0.91847825050354
1770976062.0190146,31900,0.7931071519851685
1770976135.12999,32200,0.652536153793335
1770976769.6713722,34600,0.4272356629371643
1770977568.3214836,35800,0.9181951880455017
1770977910.5797474,36400,0.2900564968585968
1770978025.297248,36600,1.1826255321502686
1770978715.059551,37800,0.9010229110717773
1770979162.423255,38600,0.7376581430435181
1770979390.9222908,39000,0.24299880862236023
1770979506.5200088,39200,0.6032443642616272
1770980263.2855988,40200,0.11525269597768784
1770980373.3512938,40400,0.3443249762058258
1770981009.7032776,41500,0.7901855111122131
1770981424.1473625,42200,0.32904911041259766
1770982256.039755,43600,0.38743215799331665
1770982315.1407764,43700,0.7145222425460815
1770982434.0584877,43900,0.44099491834640503
1770982889.924466,44600,0.47813066840171814
1770983811.8290598,46100,0.6280180215835571
1770984035.4306288,46500,0.42686569690704346
1770984613.2007203,47500,0.6952944993972778
1770984897.7662513,48000,0.40312644839286804
1770984951.8834815,48100,0.5532525777816772
1770985294.6623363,48700,0.3289980888366699
1770986643.3779252,51000,0.5073050260543823
1770986753.900248,51200,0.565521776676178
1770986812.58466,51300,0.17865613102912903
1770986865.9384358,51400,0.7188385128974915
1770987036.1501036,51700,0.6959526538848877
1770987937.5876331,53300,0.6902583837509155
1770988104.0230224,53600,0.3307507336139679
1770988210.0137863,53800,0.4244471788406372
1770988320.792963,54000,0.540093719959259
1770988649.304663,54600,0.23371084034442902
1770989179.163595,55200,0.47367027401924133
1770989407.9689164,55600,0.19011026620864868
1770989773.4708076,56200,0.4207042455673218
1770989891.1096992,56400,0.19496846199035645
1770990124.0247142,56800,0.5120621919631958
1770990870.1629272,59000,0.20377543568611145
1770991077.3333418,59400,0.43876907229423523
1770991180.282699,59600,0.5941298007965088
1770992597.5536578,62300,0.8869050145149231
1770992838.5668845,62800,0.5711870193481445
1770992888.99965,62900,0.3832084536552429
1770993291.838064,63700,0.15951845049858093
1770993606.6289341,64300,0.2413903772830963
1770993661.2634645,64400,0.42271071672439575
1770994409.6003067,65800,0.39284777641296387
1770994866.2054899,66700,0.7683494091033936
1770995289.7340858,67500,0.19318372011184692
1770996175.2450755,69200,0.16684973239898682
1770996281.4854283,69400,0.24907360970973969
1770997736.85675,72100,0.2967630624771118
1770997940.6400816,72500,0.2078256458044052
1770998228.2128332,73100,0.22735914587974548
1770998871.4170182,74400,0.1774892508983612
1771000122.9609475,76400,0.4225960075855255
1771000704.6849957,77500,0.4499167203903198
1771000760.2269797,77600,0.2835004925727844
1771001079.036959,78200,0.40263569355010986
1771001398.326218,78800,0.2722163796424866
1771002298.8190658,80400,0.1924980878829956
1771002354.892497,80500,0.18364208936691284
1771002470.110642,80700,0.498216837644577
1771003140.9355407,81900,0.48234787583351135
1771003877.3329346,83200,0.2459430694580078
1771005366.729612,85700,0.19573132693767548
1771006244.195971,86600,0.30728569626808167
1771006729.3473036,87100,0.2361609935760498
1771008211.6696258,88600,0.029589243233203888
1771009304.3404977,89700,0.285250723361969
1771009785.1691372,90100,0.09736217558383942
1771012757.4756892,93000,0.2829773426055908
